# doc_id=0-LST-4007 discipline=0 revision=R0
"Primary
Code",col_1,Work Code,Cost Code Description,UOM,"Cost 
Type",Comments,col_7,col_8
,0999,,Re-Work,LS,,,,
1200.0,,,STRUCTURAL & MISC. STEEL  (HEADER ONLY),,,,x,
,1210,,"Structural Steel
(All costs for Structural Steel Fabrication/Erection, including Light/medium/heavy steels, Bracing, Girts and Purlines, Built-up Section, Trusses, Crane Rail etc.)",TN,"L,M,U,S,V",Revised Description,x,
,1211,,Steel Fabrication / Erection - Light < 25 #/lf,TN,,,,
,1212,,Steel Fabrication / Erection - Medium 25 #/lf - 75 #/lf,TN,,,,
,1213,,Steel Fabrication / Erection - Heavy => 75 #/lf,TN,,,,
,1214,,Steel Fabrication / Erection - Bracing,TN,,,,
,1215,,Steel Fabrication / Erection - Girts and Purlins,TN,,,,
,1216,,Steel Fabrication / Erection - Built-up Section,TN,,,,
,1217,,Steel Fabrication / Erection - Trusses,TN,,,,
,1218,,Steel Fabrication / Erection - Crane Rail,TN,,,,
,,,User Defined Structural Steel Supply / Erection 1219 - 1229,,,,,
,1219,,Modification to existing Structural Steel,TN,"L,M,U,S,V",,x,
,1230,,"Miscellaneous Steel 
(Including Miscellaneous Steel from 1231~1246, use 1231~1246 as alternatives)",TN,"L,M,U,S,V",,x,
,1231,,Steel Floor Grating,SF/SM,"L,M,U,S,V",Revised Description,x,
,1232,,Checkered Floor Plate,SF/SM,"L,M,U,S,V",,x,
,1233,,"Floor Decking, Slabform/Qdeck",SF/SM,"L,M,U,S,V",,x,
,1234,,Steel Stair Treads,SF/SM,"L,M,U,S,V",Revised Description,x,
,1235,,Steel Handrail,LF/LM,"L,M,U,S,V",Revised Description,x,
,1236,,Steel Ladders,LF/LM,"L,M,U,S,V",Revised Description,x,
,1237,,Tank/Bin - Rolled Plate,TN,"L,M,U,S,V",,x,
,1238,,Hopper/Chute Plate,TN,"L,M,U,S,V",,x,
,1239,,Abrasion Resistant Liner Plate,TN,"L,M,U,S,V",,x,
,1240,,Stiffeners,TN,"L,M,U,S,V",,x,
,1241,,Other Plate,TN,"L,M,U,S,V",,x,
,1242,,Castings,EA,"L,M,U,S,V",,x,
,1243,,Open Web Joists and Metal Studs,LS,"L,M,U,S,V",,x,
,1244,,Gauge metalwork,LS,,,,
,1245,,Timber,LS,,,,
,1246,,FRP Structural Members,LS,"L,M,U,S,V",,x,
,1298,,"Structural & Misc Steel
(All Material and Labor costs for Structural Steel Fabrication/Erection, and Miscellanenous Steels)  (CODE FOR COST ROLL-UP)",LS,"L,M,U,S,V",,x,
,1299,,Re-Work,LS,,,,
1500.0,,,BUILDINGS/ARCHITECTURAL  (HEADER ONLY),,,,x,
,1510,,Buildings  (Use 1511 - 1529 as alternatives),SF/SM,"L,M,U,S,V",,x,
,1511,,Pre-engineered Building,SF/SM,"L,M,U,S,V",,x,
,1512,,Admin/Office Building,SF/SM,"L,M,U,S,V",,x,
,1513,,Control Building,SF/SM,"L,M,U,S,V",,x,
,1514,,Equipment Room,SF/SM,,,,
,1515,,Modular Building,SF/SM,,,,
,1516,,MCC Building,SF/SM,"L,M,U,S,V",New - User Defined,x,
,1517,,Transformer/Rectifier Building,SF/SM,"L,M,U,S,V",New - User Defined,x,
,1518,,Generator Building,SF/SM,"L,M,U,S,V",New - User Defined,x,
,,,User Defined Buildings  (1519 - 1529),SF/SM,"L,M,U,S,V",,x,
