# doc_id=4-LST-0101 discipline=4 revision=R0
Equipment,Equipment_1,Comments
7005H,Tail Gas Condenser,
7006K,Chlorine Flame Arrestor,
7007T,Chlorine Seal Pot,
7008T,Hydrogen Entrainment Separator,
7009U,HCl Vent Gas Scrubber,
7010P,HCl Vent Gas Scrubber Pump,
7011H,Hydrogen Cooler,
7012X,Hydrogen Demister,
7013T,Hydrogen Seal Pot,
7014K,Hydrogen Flame Arrestor,
7015K,Sulphuric Acid Mist Separator,
7016H,HCl Vent Gas Cooler,
7017V,HCl Vent Gas Ejector,
7018H,Absorption Water Cooler,
7019T,HCl Density Pot,
7020T,HCl Pump Tank,
7021P,HCl Transfer Pump,
7022T,HCl Storage Tank,
7023P,HCl Supply Pump,
7024T,HCl Head Tank,
7025T,HCl Seal Pot,
7026P,HCl Seal Pump,
7027P,HCl Metering Pump,
7028T,Intermediate HCl Storage Tank,
7029K,HCl Filter,
7030P,HCl Loading Pump,
7031U,HCl Fume Scrubber,
7032C,HCl Fume Scrubber Fan,
7033T,Dilute HCl Storage Tank,
7034P,Dilute HCl Supply Pump,
7035T,Dilute HCl Seal Pump,
7036A,HCl Metering Pump,
7037P,HCl Unloading Pump,
7040M,HCl Filling Scale,
7050T,HCl Sample Tank,
7051P,HCl Sample Pump,
Area 71,Chlorine Dioxide Reactant Handling,
7101P,Sulphuric Acid Unloading Pump,
7102T,Sulphuric Acid Storage Tank,
7103P,Sulphuric Acid Feed Pump,
7104K,Sulphuric Acid Filter,
7106P,Methanol Unloading Pump,
7107T,Methanol Storage Tank,
7108P,Methanol Feed Pump,
7109K,Methanol Filter,
Area 80,Chlorine Dioxide Generation,
